marketid	upstreamid	downstreamid	cites_cites	kn_similarity	_sq*(kn_similarity)	cites_size	cites_experience	cites_rankcmd	domain_similarity	match
20	24	12	0.12389177	0	0	0	0.028704286	0	0.081372522	0
20	24	13	0.091965251	0.11671197	0.013621683	0	0.0034445145	0	0.67765105	0
20	24	14	0.25320539	0.013698885	0.00018765946	0.27900568	0.041334175	0.11160227	0.23727651	0
20	24	15	0.18500532	0.18365692	0.033729862	0	0.013778058	0	0.73277605	0
20	24	16	0.11850283	0	0	0	0.0160744	0	0.21459763	0
20	24	17	0.27900568	0.16174322	0.02616087	0.161084	0.0011481714	0	0.24196683	0
20	24	18	0	0.75324744	0.56738168	0	0.0011481714	0	0.99654573	1
20	24	19	0.1766829	0.03392766	0.0011510862	0	0.047075029	0	0.69510907	0
20	24	20	0.071042292	0.055564366	0.0030873988	0.161084	0	0	0	0
20	24	21	0.15482943	0.089445122	0.0080004297	0	0.011481715	0	0.79108024	0
20	24	22	0.26565114	0.13931605	0.019408962	0.22780718	0.0068890289	0	0.39128295	0
20	24	23	0.19914837	0.018814048	0.00035396838	0	0.10103909	0	0.025544956	0
20	24	24	0.27563655	0.011631777	0.00013529822	0.22780718	0.027556116	0.11160227	0.22434802	0
20	24	25	0.14261851	0.13671771	0.018691732	0.22780718	0.0068890289	0	0.065101795	0
20	24	26	0.13551562	0.35520512	0.12617068	0.161084	0.0057408577	0	0.67765105	0
20	24	27	0.2326242	0.0080522802	0.000064839216	0.27900568	0.047075029	0.13950284	0.17468672	0
20	24	28	0.23561752	0.079557665	0.0063294219	0.161084	0.0057408577	0.11160227	0.72751796	0
20	24	29	0.21997041	0.035720058	0.0012759225	0.161084	0.0045926855	0.22320454	0.085783459	0
21	1	1	0	0	0	0	0	0	0	0
21	1	2	0.25554547	0	0	0	0.090975203	0	0.19598238	0
21	1	3	0.25480139	0.27042723	0.073130883	0.26741138	0.027292561	0	0	0
21	1	4	0.2597982	0.21000177	0.044100743	0	0.15465784	0	0.8462472	0
21	1	5	0.17922242	0	0	0	0.018195041	0	0.85000002	0
21	1	6	0.28775615	0.035446476	0.0012564526	0.1890884	0.0090975203	0.26200858	0.13502589	0
21	1	7	0.27424797	0	0	0	0.2638281	0	0.29629749	0
21	1	8	0.21820195	0.65870976	0.43389857	0.26741138	0	0.043668099	1	1
21	1	9	0.32751071	0.20805256	0.043285869	0.32751071	0	0.13100429	0.025693506	0
21	1	10	0.14651299	0.012486658	0.00015591663	0.1890884	0	0.065502144	0.32499999	0
21	2	1	0	0	0	0	0	0	0	0
21	2	2	0.78026593	0.0015204543	2.3117814*^-6	0	0.30555555	0	0.13249759	0
21	2	3	0.77799404	0.065876238	0.0043396787	0.81649661	0.083333336	0	0.314863	0
21	2	4	0.79325104	0.12517162	0.015667934	0	0.66666669	0	0.4767127	0
21	2	5	0.54722613	0	0	0	0.11111111	0	0.6760689	0
21	2	6	0.87861592	0.31587863	0.099779308	0.57735026	0.027777778	0.80000001	1	1
