marketid	upstreamid	downstreamid	cites_cites	kn_similarity	kn_similarity_sq	cites_size	cites_experience	cites_rankcmd	domain_similarity	match	removeup	removedown
20	2	27	.26705322	.047018282	.0022107188	.32029924	.054042261	.16014962	.4504483	0	0	0
20	2	28	.27048954	.011626538	.00013517638	.18492486	.00659052	.12811971	.033244237	0	0	0
20	2	29	.25252661	.00045320639	2.0539603e-07	.18492486	.0052724155	.25623941	.060156431	0	0	0
20	3	1	.33996713	.24846734	.061736021	0	.029437333	0	.02629352	0	1	0
20	3	2	.82637882	.024360757	.00059344649	.51624292	0	.53649545	.42176434	0	1	1
20	3	3	.30291969	0	0	0	.04783567	0	0	0	1	0
20	3	4	.49762863	.011873185	.00014097251	0	.066234	0	.072152212	0	1	0
20	3	5	.30291969	.082376674	.0067859162	0	.025757667	0	.02629352	0	1	0
20	3	6	.4899376	.46368527	.21500403	0	.14718668	0	.2727938	0	1	0
20	3	7	.12561545	.014500487	.00021026412	0	.0036796667	0	.02629352	0	1	0
20	3	8	.35029364	.34018841	.11572815	0	.062554337	0	0	0	1	0
20	3	9	.78318018	.039733604	.0015787593	0	.89415902	0	.66012347	0	1	1
20	3	10	.39549956	.002980805	8.8851984e-06	.51624292	0	0	.69209003	0	1	0
20	3	11	.80066973	.32578456	.10613558	.7300778	.09199167	.11922121	.35362488	0	1	1
20	3	12	.39704907	.049145587	.0024152887	0	.10671034	0	.67255634	0	1	0
20	3	13	.29473078	.019128824	.0003659119	0	.03679667	0	.02629352	0	1	0
20	3	14	.81147414	.37071562	.13743007	.89415902	.132468	.35766363	.81465077	1	1	1
20	3	15	.59290618	.040661413	.0016533505	0	.073593341	0	.18988794	0	1	0
20	3	16	.37977859	.0041643959	.000017342192	0	.066234	0	.58521414	0	1	0
20	3	17	.89415902	.19316651	.037313301	.51624292	.0036796667	0	.23371354	0	1	0
20	3	18	0	.0057260445	.000032787586	0	.0073593333	0	.02629352	0	1	0
20	3	19	.56623447	.48305053	.2333378	0	.187663	0	.37180614	0	1	0
20	3	20	.22767676	0	0	.51624292	.0036796667	0	0	0	1	0
20	3	21	.49619827	.27873468	.077693023	0	.058874667	0	.078271426	0	1	0
20	3	22	.85136038	.11024312	.012153545	.7300778	.022078	0	.27937743	0	1	0
20	3	23	.63823187	.029455483	.00086762547	0	.37900567	0	.4938544	0	1	0
20	3	24	.88336164	.17157023	.029436342	.7300778	.088312	.35766363	.51640785	0	1	0
20	3	25	.45706463	.017699612	.00031327628	.7300778	.022078	0	.40995151	0	1	0
20	3	26	.43430129	0	0	.51624292	.022078	0	.02629352	0	1	0
20	3	27	.74551547	.044547308	.0019844626	.89415902	.15086634	.44707951	.10864143	0	1	0
20	3	28	.75510848	.0069082063	.000047723315	.51624292	.018398335	.35766363	.20645785	0	1	0
20	3	29	.70496249	.017379098	.00030203303	.51624292	.014718667	.71532726	.42409474	0	1	0
20	4	1	.16161044	.027744837	.000769776	0	.0052476185	0	.1384252	0	0	0
