marketid	upstreamid	downstreamid	cites_cites	cites_size	kn_similarity	kn_similarity_sq	domain_similarity	cites_rankcmd	cites_experience	match	removeup	removedown
16	11	16	.75046223	.75046223	.29624766	.087762676	.7373386	.22513866	.63107049	0	0	0
17	1	1	.50711888	0	.69536453	.48353183	.99223459	0	.60744226	1	1	1
17	1	2	.60603416	.63330013	.047797266	.0022845787	.25071263	.33299786	.24895175	0	1	1
17	1	3	.12665063	.28322044	.00036707547	1.3474440e-07	.70352644	0	0	0	1	0
17	1	4	.34777334	.28322044	.013829646	.0001912591	.18925688	.41624734	.0033193566	0	1	0
17	1	5	.38537845	.28322044	.060894478	.0037081374	.35861856	.13874912	.0033193566	0	1	0
17	1	6	4.0571598e-17	0	.048418116	.002344314	0	0	.016596783	0	1	0
17	1	7	.67068678	.69374555	.10122111	.010245714	.17063761	.2959981	.013277426	0	1	0
17	1	8	.21036215	0	.34725216	.12058406	.87665588	0	.046470992	0	1	0
17	1	9	.30305752	0	.11197001	.012537283	.25925332	0	.096261337	0	1	0
17	1	10	.69374555	.40053415	.12297598	.015123093	.36387068	.1849988	.12613556	0	1	1
17	1	11	.31494582	.40053415	.022672679	.00051405036	.15563236	.092499413	.0066387132	0	1	0
17	1	12	.53720665	0	.15147334	.022944173	.79749805	0	.69374555	0	1	1
17	1	13	.53351903	.40053415	.094968788	.0090190703	.35455573	.1849988	.14937104	0	1	0
17	1	14	.49990982	.40053415	.097986147	.0096012847	.41127312	0	.043151636	0	1	1
17	1	15	.34911686	0	.42406929	.17983475	.75507867	0	.15269041	0	1	0
17	1	16	.41643801	0	.17480759	.030557694	.79007119	0	.15600976	0	1	0
17	1	17	.37601402	0	.085097156	.0072415262	.78978437	0	.18256462	0	1	0
17	1	18	.1247272	0	.070410378	.0049576215	.67052138	0	.01991614	0	1	0
17	1	19	.026282379	.40053415	.34906912	.12184925	0	.18499883	0	0	1	0
17	1	20	.26448378	0	.048063315	.0023100823	.76965523	0	.039832279	0	1	0
17	1	21	.3723911	0	.029054467	.00084416202	.7960251	0	.35517114	0	1	0
17	1	22	.48089108	.40053415	.030387679	.00092341105	.7779932	.092499398	.0033193566	0	1	0
17	1	23	.24740508	0	.34725216	.12058406	.87665588	0	.049790349	0	1	0
17	2	1	.54444581	0	.047636393	.0022692259	.48556432	0	.65215355	0	1	1
17	2	2	.6506418	.67991471	.54917979	.30159843	.62162554	.35750845	.26727605	1	1	1
