"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"storedmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"
2	1	3	2.593154973174438	0	0	""	""	""	""	0	0
2	1	4	0	0	0	""	""	""	""	0	0
2	1	5	3.760430410586748	0	0	""	""	""	""	0	0
2	1	6	2.7932314239719656	0	0	""	5.627180219125428	0	""	0	1
2	1	7	4.744242497308145	1	1	""	""	""	""	0	0
2	1	8	2.764906646749822	0	0	""	""	""	""	0	0
2	1	9	2.3481695410559134	0	0	""	""	""	""	0	0
2	1	10	1.0577978535906938	0	0	""	""	""	""	0	0
2	1	11	2.0826023940849003	0	0	""	""	""	""	0	0
2	1	12	3.1056901031774746	0	0	""	""	""	""	0	0
2	1	13	2.4590279244233937	0	0	""	5.473919173521246	0	""	0	1
2	2	1	4.994230117753826	1	1	""	""	""	""	0	0
2	2	2	0.07232286031282013	0	0	""	""	""	""	0	0
2	2	3	4.835237708046087	0	0	""	""	""	""	0	0
2	2	4	0	0	0	""	""	""	""	0	0
2	2	5	0.43977719761538214	0	0	""	""	""	""	0	0
2	2	6	3.537557936701636	0	0	""	5.627180219125428	0	""	0	1
2	2	7	2.611325954254996	0	0	""	""	""	""	0	0
2	2	8	1.7483850185594783	0	0	""	""	""	""	0	0
2	2	9	2.4436499216525718	0	0	""	""	""	""	0	0
2	2	10	2.251292410806235	0	0	""	""	""	""	0	0
2	2	11	0.5228870036019023	0	0	""	""	""	""	0	0
2	2	12	1.5920526734015206	0	0	""	""	""	""	0	0
2	2	13	3.2956037336492363	0	0	""	5.473919173521246	0	""	0	1
2	3	1	1.444015049313303	0	0	""	""	""	""	0	0
2	3	2	1.6683657427687506	0	0	""	""	""	""	0	0
2	3	3	1.671477404007229	0	0	""	""	""	""	0	0
2	3	4	0	0	0	""	""	""	""	0	0
2	3	5	3.9298056569605624	1	1	""	""	""	""	0	0
2	3	6	1.54465259462724	0	0	""	5.627180219125428	0	""	0	1
2	3	7	4.044695951172434	0	0	""	""	""	""	0	0
2	3	8	2.5605749946790106	0	0	""	""	""	""	0	0
2	3	9	1.6311814863868352	0	0	""	""	""	""	0	0
2	3	10	1.1818497961888053	0	0	""	""	""	""	0	0
2	3	11	1.631859182083439	0	0	""	""	""	""	0	0
2	3	12	2.5554520685612614	0	0	""	""	""	""	0	0
2	3	13	1.3765585910212415	0	0	""	5.473919173521246	0	""	0	1
2	4	1	4.314528103585891	0	0	""	""	""	""	0	0
2	4	2	1.759284542525571	0	0	""	""	""	""	0	0
2	4	3	4.643941161549075	0	0	""	""	""	""	0	0
2	4	4	0	0	0	""	""	""	""	0	0
2	4	5	2.639557799994199	0	0	""	""	""	""	0	0
2	4	6	4.034816069904589	0	0	""	5.627180219125428	0	""	0	1
2	4	7	3.983072543990791	0	0	""	""	""	""	0	0
2	4	8	5.563509071459333	1	1	""	""	""	""	0	0
2	4	9	3.09069286504781	0	0	""	""	""	""	0	0
2	4	10	2.5522929487856025	0	0	""	""	""	""	0	0
2	4	11	2.393662875885563	0	0	""	""	""	""	0	0
2	4	12	3.3888529420417477	0	0	""	""	""	""	0	0
2	4	13	4.555137642442904	0	0	""	5.473919173521246	0	""	0	1
2	5	1	0.7375344976094924	0	0	""	""	""	""	0	0
2	5	2	4.969539596223207	1	1	""	""	""	""	0	0
2	5	3	0.9588532144614682	0	0	""	""	""	""	0	0
2	5	4	0	0	0	""	""	""	""	0	0
2	5	5	1.298035573613237	0	0	""	""	""	""	0	0
2	5	6	0.7870613061091073	0	0	""	5.627180219125428	0	""	0	1
2	5	7	1.4054840003517752	0	0	""	""	""	""	0	0
2	5	8	1.5379398737223715	0	0	""	""	""	""	0	0
2	5	9	0.9758265249832416	0	0	""	""	""	""	0	0
2	5	10	1.2542475550531682	0	0	""	""	""	""	0	0
2	5	11	0.9560951889047598	0	0	""	""	""	""	0	0
2	5	12	0.406604571317377	0	0	""	""	""	""	0	0
2	5	13	0.9266584074759864	0	0	""	5.473919173521246	0	""	0	1
2	6	1	5.769950946180952	0	0	9.8071418903302	""	""	0	1	0
2	6	2	1.8057029084790734	0	0	9.8071418903302	""	""	0	1	0
2	6	3	6.0987721291665995	0	0	9.8071418903302	""	""	0	1	0
2	6	4	0	0	0	9.8071418903302	""	""	0	1	0
2	6	5	1.5683655937957135	0	0	9.8071418903302	""	""	0	1	0
2	6	6	6.97371156320041	1	1	9.8071418903302	5.627180219125428	1.3465313440749815	0	1	1
2	6	7	4.834254919630263	0	0	9.8071418903302	""	""	0	1	0
2	6	8	4.359381490721083	0	0	9.8071418903302	""	""	0	1	0
2	6	9	4.925402798708934	0	0	9.8071418903302	""	""	0	1	0
2	6	10	2.892683001843123	0	0	9.8071418903302	""	""	0	1	0
2	6	11	3.7048310638604027	0	0	9.8071418903302	""	""	0	1	0
2	6	12	4.249920328688411	0	0	9.8071418903302	""	""	0	1	0
2	6	13	6.820450517596225	1	1	9.8071418903302	5.473919173521246	1.3465313440749789	0	1	1
2	7	1	3.2011787238663407	0	0	""	""	""	""	0	0
2	7	2	1.4158743710880064	0	0	""	""	""	""	0	0
2	7	3	3.5283714765505736	0	0	""	""	""	""	0	0
